gene,TPM
ENSG00000000003.16,1.419173
ENSG00000000005.6,5.485469999999999
ENSG00000000419.14,22.386156
ENSG00000000457.14,3.672307
ENSG00000000460.17,1.144441
ENSG00000000938.13,0.748733
ENSG00000000971.17,12.776245
ENSG00000001036.14,0.093109
ENSG00000001084.13,16.042211
ENSG00000001167.15,1.6268
ENSG00000001460.18,8.560549
ENSG00000001461.19,7.2002310000000005
ENSG00000001497.18,14.302937
ENSG00000001561.7,0.678614
ENSG00000001617.12,0.664441
ENSG00000001626.18,234.030755
ENSG00000001629.10,1.175105
ENSG00000001630.18,8.605781
ENSG00000001631.17,12.28686
ENSG00000002016.18,1.179093
ENSG00000002330.14,11.614961
ENSG00000002549.13,8.158241
ENSG00000002586.20,20.070925
ENSG00000002587.10,1.203963
ENSG00000002726.21,1.082825
ENSG00000002745.13,1.439503
ENSG00000002746.15,15.477893
ENSG00000002822.16,8.235241
ENSG00000002834.19,6.402538
ENSG00000002919.15,9.446680999999998
ENSG00000002933.9,2.940144
ENSG00000003056.8,1.840331
ENSG00000003096.15,1.60408
ENSG00000003137.9,5.079041
ENSG00000003147.19,10.027216
ENSG00000003249.15,0.521108
ENSG00000003393.16,31.607973
ENSG00000003400.16,20.966783
ENSG00000003402.21,29.848929
ENSG00000003436.16,18.695338
ENSG00000003509.16,4.252548
ENSG00000003756.17,9.835414
ENSG00000003987.14,39.65951
ENSG00000003989.18,1.641324
ENSG00000004059.11,7.387413
ENSG00000004139.14,8.974784
ENSG00000004142.12,0.6411720000000001
ENSG00000004399.13,21.654512
ENSG00000004455.18,18.37765
ENSG00000004468.13,2.3828430000000003
ENSG00000004478.8,1.31952
ENSG00000004487.18,12.755793
ENSG00000004534.15,13.917241
ENSG00000004660.15,2.611382
ENSG00000004700.16,10.82114
ENSG00000004766.17,20.641077000000003
ENSG00000004776.13,3.449693
ENSG00000004777.19,2.817665
ENSG00000004779.10,0.939159
ENSG00000004799.8,5.908333
ENSG00000004809.14,3.443225
ENSG00000004838.14,3.114181
ENSG00000004846.17,7.253411
ENSG00000004848.8,0.0
ENSG00000004864.14,0.385249
ENSG00000004866.22,3.685586
ENSG00000004897.12,209.677571
ENSG00000004939.16,6.821989
ENSG00000004948.16,0.11968
ENSG00000004961.15,0.0
ENSG00000004975.12,2.760895
ENSG00000005001.10,1.654074
ENSG00000005007.14,7.650383
ENSG00000005020.13,9.22972
ENSG00000005022.6,30.794383
ENSG00000005059.16,8.959907000000001
ENSG00000005073.6,0.0
ENSG00000005075.16,0.0
ENSG00000005100.13,5.104251
ENSG00000005102.14,0.902093
ENSG00000005108.17,4.813412
ENSG00000005156.12,4.419905
ENSG00000005175.10,2.14993
ENSG00000005187.12,8.713044
ENSG00000005189.20,1.793853
ENSG00000005194.15,11.001342
ENSG00000005206.17,4.041802000000001
ENSG00000005238.20,1.9429210000000001
ENSG00000005243.10,0.400783
ENSG00000005249.14,14.076847999999998
ENSG00000005302.19,2.827327
ENSG00000005339.15,5.460104
ENSG00000005379.17,2.599988
ENSG00000005381.9,2.617016
ENSG00000005421.9,4.613486
ENSG00000005436.14,14.080079999999999
ENSG00000005448.17,4.91464
ENSG00000005469.12,4.141556
ENSG00000005471.19,6.236392
ENSG00000005483.23,4.912014
ENSG00000005486.17,5.5781089999999995
ENSG00000005513.11,0.481011
ENSG00000005700.15,5.110351
ENSG00000005801.18,13.129893000000001
ENSG00000005810.20,33.436442
ENSG00000005812.11,0.0
ENSG00000005844.19,24.092017
ENSG00000005882.12,1.782493
ENSG00000005884.18,14.344104
ENSG00000005889.16,1.4831569999999998
ENSG00000005893.17,4.826987
ENSG00000005961.19,1.334694
ENSG00000005981.13,3.859758
ENSG00000006007.12,2.860552
ENSG00000006015.18,15.263248
ENSG00000006016.12,9.471832
ENSG00000006025.13,1.472158
ENSG00000006042.12,5.646568
ENSG00000006047.13,0.0
ENSG00000006059.4,0.0
ENSG00000006062.18,0.575395
ENSG00000006071.16,11.817339
ENSG00000006116.4,3.33898
ENSG00000006118.15,2.241914
ENSG00000006125.18,24.892572
ENSG00000006128.12,2.0941229999999997
ENSG00000006194.12,5.845022
ENSG00000006210.7,6.835986999999999
ENSG00000006282.22,11.521742999999999
ENSG00000006283.18,4.2486
ENSG00000006327.14,103.879424
ENSG00000006377.11,0.727773
ENSG00000006432.16,2.519204
ENSG00000006451.8,0.0
ENSG00000006453.14,1.979625
ENSG00000006459.11,1.214489
ENSG00000006468.15,18.422562999999997
ENSG00000006530.18,17.308015
ENSG00000006534.17,4.785762
ENSG00000006555.11,0.665283
ENSG00000006576.17,5.594561000000001
ENSG00000006606.9,0.883505
ENSG00000006607.14,35.47912
ENSG00000006611.17,4.284052
ENSG00000006625.18,0.0
ENSG00000006634.8,0.133009
ENSG00000006638.13,24.596814
ENSG00000006652.15,13.329549
ENSG00000006659.13,0.0
ENSG00000006695.12,3.033595
ENSG00000006704.11,2.8404059999999998
ENSG00000006712.15,13.997745
ENSG00000006715.16,2.053503
ENSG00000006740.18,4.320949
ENSG00000006744.19,3.33329
ENSG00000006747.15,8.201307
ENSG00000006756.16,1.4087480000000001
ENSG00000006757.12,0.560397
ENSG00000006788.14,1.43899
ENSG00000006831.10,21.859581
ENSG00000006837.12,24.096813
ENSG00000007001.14,5.490709000000001
ENSG00000007038.11,5.137747
ENSG00000007047.16,7.113506
ENSG00000007062.12,38.896206
ENSG00000007080.11,5.021547999999999
ENSG00000007129.18,2.1668920000000003
ENSG00000007168.15,18.312227999999998
ENSG00000007171.19,1.297765
ENSG00000007174.18,9.259575
ENSG00000007202.16,10.302206
ENSG00000007216.16,1.068345
ENSG00000007237.19,3.9680829999999996
ENSG00000007255.10,0.0
ENSG00000007264.15,12.789885
ENSG00000007306.15,0.710276
ENSG00000007312.14,2.639311
ENSG00000007314.12,1.710292
ENSG00000007341.19,11.806491
ENSG00000007350.18,6.100136
ENSG00000007372.25,12.368966
ENSG00000007376.8,3.737905
ENSG00000007384.15,8.75242
ENSG00000007392.17,10.776435000000001
ENSG00000007402.12,0.444973
ENSG00000007516.15,0.248032
ENSG00000007520.4,0.0
ENSG00000007541.17,9.393239
ENSG00000007545.16,6.5792660000000005
ENSG00000007866.22,0.561323
ENSG00000007908.16,3.9895869999999998
ENSG00000007923.17,13.033633
ENSG00000007933.13,12.650769
ENSG00000007944.16,1.552244
ENSG00000007952.18,2.813046
ENSG00000007968.7,5.644409
ENSG00000008018.9,1.883136
ENSG00000008056.14,0.593399
ENSG00000008083.14,0.371915
ENSG00000008086.13,30.778274999999997
ENSG00000008118.10,8.886095999999998
ENSG00000008128.23,0.291907
ENSG00000008130.15,20.277329
ENSG00000008196.13,0.886624
ENSG00000008197.5,0.219899
ENSG00000008226.20,4.0482759999999995
ENSG00000008256.17,14.044269
ENSG00000008277.15,10.049925
ENSG00000008282.10,15.114268000000001
ENSG00000008283.16,39.491126
ENSG00000008294.22,8.159772
ENSG00000008300.17,11.335181
ENSG00000008311.16,22.278341
ENSG00000008323.16,17.834015
ENSG00000008324.12,5.757654
ENSG00000008382.16,1.336144
ENSG00000008394.13,11.572542
ENSG00000008405.12,0.564601
ENSG00000008438.5,0.0
ENSG00000008441.19,1.946904
ENSG00000008513.17,12.295262000000001
ENSG00000008516.19,0.620767
ENSG00000008517.19,2.744409
ENSG00000008710.20,10.934978
ENSG00000008735.14,1.507567
ENSG00000008838.21,31.641655
ENSG00000008853.18,0.483683
ENSG00000008869.12,14.905998
ENSG00000008952.17,34.591464
ENSG00000008988.11,13.607931
ENSG00000009307.17,0.309508
ENSG00000009335.19,6.2419329999999995
ENSG00000009413.17,12.200517
ENSG00000009694.14,1.275396
ENSG00000009709.13,2.300253
ENSG00000009724.18,2.655227
ENSG00000009765.15,2.9806880000000002
ENSG00000009780.16,0.120592
ENSG00000009790.15,11.603798000000001
ENSG00000009830.13,67.667079
ENSG00000009844.16,2.249883
ENSG00000009950.16,17.725352
ENSG00000009954.11,1.118503
ENSG00000010017.13,0.317148
ENSG00000010030.14,5.305505999999999
ENSG00000010072.16,0.964993
ENSG00000010165.20,0.33636
ENSG00000010219.14,7.081975
ENSG00000010244.19,8.388163
ENSG00000010256.12,10.20439
ENSG00000010270.14,12.310376
ENSG00000010278.15,8.548921
ENSG00000010282.15,2.517989
ENSG00000010292.13,1.1322940000000001
ENSG00000010295.20,3.787039
ENSG00000010310.9,5.303944
ENSG00000010318.22,3.74885
ENSG00000010319.7,3.2694900000000002
ENSG00000010322.16,11.729363
ENSG00000010327.10,7.138535
ENSG00000010361.14,0.463377
ENSG00000010379.16,23.132702
ENSG00000010404.18,7.266092
ENSG00000010438.17,6.824085
ENSG00000010539.12,7.2728850000000005
ENSG00000010610.10,3.3638339999999998
ENSG00000010626.15,2.469423
ENSG00000010671.18,49.331043
ENSG00000010704.20,30.607633
ENSG00000010803.18,6.8533420000000005
ENSG00000010810.18,13.673582999999999
ENSG00000010818.11,6.537349
ENSG00000010932.17,1.017276
ENSG00000011007.13,0.453197
ENSG00000011009.12,4.808052
ENSG00000011021.23,6.378743
ENSG00000011028.14,1.73986
ENSG00000011052.21,0.0
ENSG00000011083.9,0.638019
ENSG00000011105.14,2.341793
ENSG00000011114.15,10.259827
ENSG00000011132.12,10.493339
ENSG00000011143.19,14.517241
ENSG00000011198.10,3.8835900000000003
ENSG00000011201.12,1.156587
ENSG00000011243.19,10.168527999999998
ENSG00000011258.16,0.204979
ENSG00000011260.14,0.489025
ENSG00000011275.19,4.96031
ENSG00000011295.16,15.702200999999999
ENSG00000011304.22,16.452675
ENSG00000011332.22,1.843349
ENSG00000011347.10,1.6705269999999999
ENSG00000011376.12,7.07074
ENSG00000011405.14,2.5869619999999998
ENSG00000011422.12,22.046522000000003
ENSG00000011426.11,8.740857
ENSG00000011451.21,2.456261
ENSG00000011454.18,16.720336
ENSG00000011465.18,26.518115
ENSG00000011478.13,12.841426
ENSG00000011485.15,6.150487
ENSG00000011523.15,16.169043
ENSG00000011566.15,20.072315
ENSG00000011590.14,0.134045
ENSG00000011600.12,4.298131
ENSG00000011638.11,10.421308
ENSG00000011677.13,1.453558
ENSG00000012048.26,30.645012
ENSG00000012061.17,27.017436
ENSG00000012124.17,33.952007
ENSG00000012171.20,8.395364
ENSG00000012174.12,4.003732
ENSG00000012211.13,0.304241
ENSG00000012223.13,0.0
ENSG00000012232.10,139.15791399999998
ENSG00000012504.15,2.5745050000000003
ENSG00000012660.14,1.619763
ENSG00000012779.12,6.179956
ENSG00000012817.16,0.0
ENSG00000012822.16,0.634511
ENSG00000012963.15,0.0
ENSG00000012983.12,1.93634
ENSG00000013016.16,0.086902
ENSG00000013275.8,6.960373
ENSG00000013288.9,5.255489
ENSG00000013293.6,52.006261
ENSG00000013297.12,7.9805280000000005
ENSG00000013306.16,8.825226
ENSG00000013364.19,25.332341
ENSG00000013374.17,33.002467
ENSG00000013375.17,19.003119
ENSG00000013392.8,2.492462
ENSG00000013441.17,5.30763
ENSG00000013503.10,0.462538
ENSG00000013523.12,6.48411
ENSG00000013561.18,23.724477999999998
ENSG00000013563.14,2.852878
ENSG00000013573.17,23.317954
ENSG00000013583.10,0.646467
ENSG00000013588.10,16.121565
ENSG00000013619.15,1.054981
ENSG00000013725.14,4.931262
ENSG00000013810.21,3.7332549999999998
ENSG00000014123.10,0.149991
ENSG00000014138.10,12.442864
ENSG00000014164.7,0.724064
ENSG00000014216.16,17.36513
ENSG00000014257.17,2.439447
ENSG00000014641.21,17.633264
ENSG00000014824.14,1.0474899999999998
ENSG00000014914.21,4.424582
ENSG00000014919.13,2.184852
ENSG00000015133.20,6.076779
ENSG00000015153.15,7.2623549999999994
ENSG00000015171.21,115.947905
ENSG00000015285.12,0.564885
ENSG00000015413.10,0.148129
ENSG00000015475.19,6.764484
ENSG00000015479.20,12.745472
ENSG00000015520.15,1.172922
ENSG00000015532.10,5.462023
ENSG00000015568.13,66.350805
ENSG00000015592.17,2.449141
ENSG00000015676.18,5.222754999999999
ENSG00000016082.15,1.859768
ENSG00000016391.11,4.862907
ENSG00000016402.14,7.591646
ENSG00000016490.16,0.577454
ENSG00000016602.9,0.872763
ENSG00000016864.19,12.783187999999999
ENSG00000017260.20,23.683963
ENSG00000017427.17,0.0
ENSG00000017483.16,2.640612
ENSG00000017797.13,6.532854
ENSG00000018189.13,1.3818270000000001
ENSG00000018236.15,2.836799
ENSG00000018280.18,6.379619
ENSG00000018408.15,7.401955
ENSG00000018510.18,12.302698
ENSG00000018607.9,0.0
ENSG00000018610.15,33.428502
ENSG00000018625.15,7.1121929999999995
ENSG00000018699.13,2.938876
ENSG00000018869.18,1.272926
ENSG00000019102.12,1.69002
ENSG00000019144.20,23.111791
ENSG00000019169.11,0.127429
ENSG00000019186.10,10.161745999999999
ENSG00000019485.14,0.957149
ENSG00000019505.8,3.032369
ENSG00000019549.13,2.265984
ENSG00000019582.17,15.037986
ENSG00000019991.18,4.987593
ENSG00000019995.6,2.819581
ENSG00000020129.16,2.060956
ENSG00000020181.18,0.396256
ENSG00000020219.9,2.373178
ENSG00000020256.20,7.629258
ENSG00000020426.11,1.989544
ENSG00000020577.14,0.711214
ENSG00000020633.19,3.686629
ENSG00000020922.13,8.731323999999999
ENSG00000021300.14,2.6065400000000003
ENSG00000021355.13,5.005409
ENSG00000021461.18,4.141871
ENSG00000021488.13,3.293039
ENSG00000021574.15,11.818984
ENSG00000021645.20,3.642885
ENSG00000021762.20,9.838607
ENSG00000021776.11,25.211698
ENSG00000021826.18,10.024327
ENSG00000021852.14,0.850341
ENSG00000022267.19,10.831411
ENSG00000022277.13,2.683543
ENSG00000022355.18,32.962653
ENSG00000022556.16,14.894168
ENSG00000022567.10,7.067792
ENSG00000022840.17,43.967832
ENSG00000022976.16,31.16809
ENSG00000023041.12,15.227887
ENSG00000023171.20,4.9129570000000005
ENSG00000023191.17,16.274819
ENSG00000023228.15,6.505763
ENSG00000023287.13,27.353011000000002
ENSG00000023318.9,5.078823
ENSG00000023330.15,0.187095
ENSG00000023445.17,4.665849
ENSG00000023516.9,0.761012
ENSG00000023572.10,13.334664
ENSG00000023608.5,4.225636
ENSG00000023697.13,0.0
ENSG00000023734.11,0.0
ENSG00000023839.12,16.334528
ENSG00000023892.12,4.526016
ENSG00000023902.14,1.208574
ENSG00000023909.10,2.233363
ENSG00000024048.11,4.055768
ENSG00000024422.12,20.129875
ENSG00000024526.17,3.823733
ENSG00000024862.18,0.398773
ENSG00000025039.15,1.4855969999999998
ENSG00000025156.13,1.779437
ENSG00000025293.17,34.008437
ENSG00000025423.11,16.841121
ENSG00000025434.19,4.744085999999999
