gene,TPM
ENSG00000000003.16,22.376647000000002
ENSG00000000005.6,0.044178
ENSG00000000419.14,21.997923
ENSG00000000457.14,2.100976
ENSG00000000460.17,5.306718999999999
ENSG00000000938.13,0.007284
ENSG00000000971.17,0.144047
ENSG00000001036.14,9.873979
ENSG00000001084.13,4.502052
ENSG00000001167.15,5.799482
ENSG00000001460.18,2.099732
ENSG00000001461.19,2.368055
ENSG00000001497.18,9.489774
ENSG00000001561.7,2.554166
ENSG00000001617.12,1.678177
ENSG00000001626.18,0.39488
ENSG00000001629.10,12.727622
ENSG00000001630.18,23.45183
ENSG00000001631.17,9.597317
ENSG00000002016.18,5.425146
ENSG00000002330.14,24.562507
ENSG00000002549.13,16.735994
ENSG00000002586.20,57.18473
ENSG00000002587.10,0.312732
ENSG00000002726.21,0.012488
ENSG00000002745.13,0.008897
ENSG00000002746.15,0.520861
ENSG00000002822.16,23.897629
ENSG00000002834.19,33.920483
ENSG00000002919.15,7.507941
ENSG00000002933.9,0.354098
ENSG00000003056.8,48.835486
ENSG00000003096.15,4.211406
ENSG00000003137.9,0.065908
ENSG00000003147.19,3.0021630000000004
ENSG00000003249.15,2.339043
ENSG00000003393.16,10.615865
ENSG00000003400.16,0.194986
ENSG00000003402.21,2.687728
ENSG00000003436.16,1.837981
ENSG00000003509.16,6.152242
ENSG00000003756.17,37.008562000000005
ENSG00000003987.14,1.5105060000000001
ENSG00000003989.18,4.726251
ENSG00000004059.11,88.645765
ENSG00000004139.14,4.775581
ENSG00000004142.12,22.656317
ENSG00000004399.13,4.277662
ENSG00000004455.18,29.676457
ENSG00000004468.13,0.063836
ENSG00000004478.8,25.83058
ENSG00000004487.18,74.47186500000001
ENSG00000004534.15,19.445619
ENSG00000004660.15,1.5191059999999998
ENSG00000004700.16,9.71973
ENSG00000004766.17,7.416283
ENSG00000004776.13,0.148512
ENSG00000004777.19,13.294331999999999
ENSG00000004779.10,64.909239
ENSG00000004799.8,0.007699
ENSG00000004809.14,0.008842
ENSG00000004838.14,0.8209059999999999
ENSG00000004846.17,0.025027
ENSG00000004848.8,9.233537
ENSG00000004864.14,28.543787
ENSG00000004866.22,4.405663
ENSG00000004897.12,15.730410000000001
ENSG00000004939.16,0.03463
ENSG00000004948.16,0.023299
ENSG00000004961.15,3.7422380000000004
ENSG00000004975.12,26.912218000000003
ENSG00000005001.10,0.0
ENSG00000005007.14,11.522965
ENSG00000005020.13,1.960291
ENSG00000005022.6,79.921883
ENSG00000005059.16,14.568887
ENSG00000005073.6,0.0
ENSG00000005075.16,14.029324
ENSG00000005100.13,3.537323
ENSG00000005102.14,0.010644
ENSG00000005108.17,0.985316
ENSG00000005156.12,45.503657000000004
ENSG00000005175.10,17.858476
ENSG00000005187.12,1.84589
ENSG00000005189.20,2.254403
ENSG00000005194.15,27.952176
ENSG00000005206.17,25.075731
ENSG00000005238.20,9.062151
ENSG00000005243.10,0.435573
ENSG00000005249.14,8.505898
ENSG00000005302.19,6.616998
ENSG00000005339.15,7.161041
ENSG00000005379.17,7.147048
ENSG00000005381.9,0.0
ENSG00000005421.9,0.024942
ENSG00000005436.14,1.668384
ENSG00000005448.17,37.246562000000004
ENSG00000005469.12,2.254242
ENSG00000005471.19,0.391476
ENSG00000005483.23,13.207606
ENSG00000005486.17,26.294605999999998
ENSG00000005513.11,4.579042
ENSG00000005700.15,6.553884
ENSG00000005801.18,13.953394000000001
ENSG00000005810.20,7.7215300000000004
ENSG00000005812.11,9.066351
ENSG00000005844.19,0.353047
ENSG00000005882.12,10.354646
ENSG00000005884.18,7.791028
ENSG00000005889.16,12.402953
ENSG00000005893.17,16.230304
ENSG00000005961.19,2.017446
ENSG00000005981.13,0.050128
ENSG00000006007.12,16.673587
ENSG00000006015.18,35.395669
ENSG00000006016.12,1.18493
ENSG00000006025.13,2.050111
ENSG00000006042.12,57.552488
ENSG00000006047.13,1.300471
ENSG00000006059.4,0.0
ENSG00000006062.18,2.001096
ENSG00000006071.16,0.8530639999999999
ENSG00000006116.4,0.0
ENSG00000006118.15,62.834103
ENSG00000006125.18,13.532596000000002
ENSG00000006128.12,0.676312
ENSG00000006194.12,9.682185
ENSG00000006210.7,1.4439489999999997
ENSG00000006282.22,14.947175999999999
ENSG00000006283.18,0.9200550000000001
ENSG00000006327.14,69.879999
ENSG00000006377.11,0.078042
ENSG00000006432.16,2.1283529999999997
ENSG00000006451.8,17.522015
ENSG00000006453.14,0.890655
ENSG00000006459.11,1.961901
ENSG00000006468.15,13.320646
ENSG00000006530.18,7.2089870000000005
ENSG00000006534.17,0.202454
ENSG00000006555.11,0.085383
ENSG00000006576.17,4.1025730000000005
ENSG00000006606.9,0.0
ENSG00000006607.14,7.90221
ENSG00000006611.17,0.013586
ENSG00000006625.18,20.941419
ENSG00000006634.8,13.103458
ENSG00000006638.13,0.196985
ENSG00000006652.15,20.27684
ENSG00000006659.13,0.0
ENSG00000006695.12,4.978972
ENSG00000006704.11,7.746440999999999
ENSG00000006712.15,17.605276
ENSG00000006715.16,24.890518
ENSG00000006740.18,1.7516829999999999
ENSG00000006744.19,17.034588
ENSG00000006747.15,0.200007
ENSG00000006756.16,1.9811590000000001
ENSG00000006757.12,5.709139
ENSG00000006788.14,0.0
ENSG00000006831.10,7.393013
ENSG00000006837.12,3.807214
ENSG00000007001.14,0.17091
ENSG00000007038.11,0.0
ENSG00000007047.16,8.52147
ENSG00000007062.12,4.525803
ENSG00000007080.11,19.842185999999998
ENSG00000007129.18,1.399309
ENSG00000007168.15,32.527464
ENSG00000007171.19,0.973296
ENSG00000007174.18,0.29067
ENSG00000007202.16,19.915323
ENSG00000007216.16,0.0
ENSG00000007237.19,0.0152
ENSG00000007255.10,22.966757
ENSG00000007264.15,2.8404760000000002
ENSG00000007306.15,0.109219
ENSG00000007312.14,0.36411899999999997
ENSG00000007314.12,0.237905
ENSG00000007341.19,8.580683
ENSG00000007350.18,0.16374
ENSG00000007372.25,0.539989
ENSG00000007376.8,7.111807
ENSG00000007384.15,8.979657
ENSG00000007392.17,41.928097
ENSG00000007402.12,3.301085
ENSG00000007516.15,2.872167
ENSG00000007520.4,29.007121
ENSG00000007541.17,27.582694999999998
ENSG00000007545.16,11.266478
ENSG00000007866.22,5.7528570000000006
ENSG00000007908.16,0.0
ENSG00000007923.17,10.321508
ENSG00000007933.13,0.105265
ENSG00000007944.16,5.438161
ENSG00000007952.18,0.059502
ENSG00000007968.7,3.401901
ENSG00000008018.9,113.419298
ENSG00000008056.14,0.486544
ENSG00000008083.14,18.249279
ENSG00000008086.13,1.444252
ENSG00000008118.10,1.178404
ENSG00000008128.23,4.33414
ENSG00000008130.15,18.678561
ENSG00000008196.13,0.014384
ENSG00000008197.5,0.0
ENSG00000008226.20,2.565567
ENSG00000008256.17,4.42996
ENSG00000008277.15,4.179068
ENSG00000008282.10,10.60737
ENSG00000008283.16,5.043482
ENSG00000008294.22,34.85733
ENSG00000008300.17,5.152817
ENSG00000008311.16,13.744691
ENSG00000008323.16,0.255818
ENSG00000008324.12,7.983572
ENSG00000008382.16,11.938241
ENSG00000008394.13,48.932404
ENSG00000008405.12,7.793721
ENSG00000008438.5,0.253494
ENSG00000008441.19,0.012382
ENSG00000008513.17,1.007849
ENSG00000008516.19,0.295859
ENSG00000008517.19,1.694706
ENSG00000008710.20,24.524001
ENSG00000008735.14,5.845776
ENSG00000008838.21,23.007669
ENSG00000008853.18,5.2538540000000005
ENSG00000008869.12,3.360032
ENSG00000008952.17,32.615206
ENSG00000008988.11,1266.0380480000001
ENSG00000009307.17,175.873352
ENSG00000009335.19,9.672817
ENSG00000009413.17,6.9388000000000005
ENSG00000009694.14,0.071791
ENSG00000009709.13,0.00649
ENSG00000009724.18,0.8954259999999999
ENSG00000009765.15,0.047836000000000004
ENSG00000009780.16,5.1762
ENSG00000009790.15,0.10841100000000001
ENSG00000009830.13,32.83701
ENSG00000009844.16,19.000021
ENSG00000009950.16,0.232582
ENSG00000009954.11,19.310803
ENSG00000010017.13,9.956966999999999
ENSG00000010030.14,0.08171
ENSG00000010072.16,4.660388
ENSG00000010165.20,8.854839
ENSG00000010219.14,14.022561
ENSG00000010244.19,60.343610000000005
ENSG00000010256.12,60.976876999999995
ENSG00000010270.14,36.760999
ENSG00000010278.15,0.412734
ENSG00000010282.15,0.0172
ENSG00000010292.13,42.677789000000004
ENSG00000010295.20,5.812006
ENSG00000010310.9,4.531372
ENSG00000010318.22,2.077053
ENSG00000010319.7,0.076154
ENSG00000010322.16,31.60616
ENSG00000010327.10,0.237321
ENSG00000010361.14,12.290328
ENSG00000010379.16,0.220497
ENSG00000010404.18,8.790574
ENSG00000010438.17,0.072067
ENSG00000010539.12,4.385973
ENSG00000010610.10,0.544665
ENSG00000010626.15,4.024611
ENSG00000010671.18,0.5805089999999999
ENSG00000010704.20,0.232705
ENSG00000010803.18,7.695365
ENSG00000010810.18,41.999911
ENSG00000010818.11,1.317822
ENSG00000010932.17,0.123402
ENSG00000011007.13,8.078172
ENSG00000011009.12,37.817715
ENSG00000011021.23,4.773281
ENSG00000011028.14,35.772211
ENSG00000011052.21,13.764449
ENSG00000011083.9,0.018017
ENSG00000011105.14,7.445741
ENSG00000011114.15,13.359204
ENSG00000011132.12,6.673108
ENSG00000011143.19,7.890554
ENSG00000011198.10,3.095996
ENSG00000011201.12,0.48013300000000003
ENSG00000011243.19,24.706745
ENSG00000011258.16,10.444303999999999
ENSG00000011260.14,18.45019
ENSG00000011275.19,8.952859
ENSG00000011295.16,11.950763
ENSG00000011304.22,76.109715
ENSG00000011332.22,6.005886
ENSG00000011347.10,1.311377
ENSG00000011376.12,7.057132999999999
ENSG00000011405.14,16.360066
ENSG00000011422.12,3.587626
ENSG00000011426.11,14.7676
ENSG00000011451.21,8.36503
ENSG00000011454.18,10.073799
ENSG00000011465.18,0.267472
ENSG00000011478.13,4.154918
ENSG00000011485.15,20.178936
ENSG00000011523.15,8.873146
ENSG00000011566.15,10.726277000000001
ENSG00000011590.14,1.2282060000000001
ENSG00000011600.12,0.0
ENSG00000011638.11,15.416653
ENSG00000011677.13,1.369346
ENSG00000012048.26,8.724041999999999
ENSG00000012061.17,60.870391
ENSG00000012124.17,0.20681499999999997
ENSG00000012171.20,0.729776
ENSG00000012174.12,1.821781
ENSG00000012211.13,0.6308609999999999
ENSG00000012223.13,0.0
ENSG00000012232.10,25.463345999999998
ENSG00000012504.15,0.053791
ENSG00000012660.14,27.814906999999998
ENSG00000012779.12,0.236124
ENSG00000012817.16,4.886387
ENSG00000012822.16,13.367333
ENSG00000012963.15,8.434554
ENSG00000012983.12,12.459641000000001
ENSG00000013016.16,2.256809
ENSG00000013275.8,32.392341
ENSG00000013288.9,2.871795
ENSG00000013293.6,1.223509
ENSG00000013297.12,0.872619
ENSG00000013306.16,24.886095
ENSG00000013364.19,1.7419710000000002
ENSG00000013374.17,18.004177
ENSG00000013375.17,10.130073
ENSG00000013392.8,1.089607
ENSG00000013441.17,27.282764
ENSG00000013503.10,2.453658
ENSG00000013523.12,5.956614
ENSG00000013561.18,13.651477
ENSG00000013563.14,4.970343000000001
ENSG00000013573.17,24.807346
ENSG00000013583.10,2.649375
ENSG00000013588.10,0.06105
ENSG00000013619.15,0.370619
ENSG00000013725.14,0.727214
ENSG00000013810.21,15.473471
ENSG00000014123.10,6.021635
ENSG00000014138.10,7.110289
ENSG00000014164.7,1.96063
ENSG00000014216.16,19.514487
ENSG00000014257.17,0.021202
ENSG00000014641.21,67.573071
ENSG00000014824.14,23.782154
ENSG00000014914.21,0.456748
ENSG00000014919.13,9.823131
ENSG00000015133.20,7.867304000000001
ENSG00000015153.15,5.933216
ENSG00000015171.21,14.910864
ENSG00000015285.12,0.372174
ENSG00000015413.10,0.720885
ENSG00000015475.19,5.815824
ENSG00000015479.20,186.002299
ENSG00000015520.15,0.017916
ENSG00000015532.10,18.300521
ENSG00000015568.13,8.635088
ENSG00000015592.17,13.240066
ENSG00000015676.18,22.115753
ENSG00000016082.15,1.783199
ENSG00000016391.11,0.683276
ENSG00000016402.14,0.0
ENSG00000016490.16,0.0
ENSG00000016602.9,0.004357
ENSG00000016864.19,19.956673
ENSG00000017260.20,13.770628
ENSG00000017427.17,0.026875
ENSG00000017483.16,0.230885
ENSG00000017797.13,10.343357
ENSG00000018189.13,34.945197
ENSG00000018236.15,1.102975
ENSG00000018280.18,0.5911599999999999
ENSG00000018408.15,2.5789739999999997
ENSG00000018510.18,20.805672
ENSG00000018607.9,0.0
ENSG00000018610.15,10.089932000000001
ENSG00000018625.15,7.127202
ENSG00000018699.13,5.207501000000001
ENSG00000018869.18,3.065576
ENSG00000019102.12,0.11083399999999999
ENSG00000019144.20,24.537055000000002
ENSG00000019169.11,0.016538
ENSG00000019186.10,0.0
ENSG00000019485.14,0.9479249999999999
ENSG00000019505.8,2.168434
ENSG00000019549.13,0.7124419999999999
ENSG00000019582.17,5.291891
ENSG00000019991.18,0.029019
ENSG00000019995.6,8.388373
ENSG00000020129.16,6.646650999999999
