Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Reactome_2022__Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,0.6523861765843191,1.3420735181127277,0.09396751740139211,1.0,0.958,7/16,22.37%,RBM8A;XAB2;SF3B4;HNRNPL;PRCC;ZMAT5;POLR2E
prerank,KEGG_2021_Human__Human papillomavirus infection,0.5919414878422229,1.3409289566979854,0.04736842105263158,1.0,0.959,13/34,23.20%,FZD10;FZD9;RFNG;PTEN;AKT3;PPP2CA;AXIN1;PPP2R1A;ATP6AP1;IKBKG;DVL3;HES5;IFNA16
prerank,Reactome_2022__Signaling By WNT R-HSA-195721,0.5975463483785142,1.3316557925391612,0.05938494167550371,1.0,0.968,16/31,27.48%,FZD9;ITPR2;PSMB8;CLTA;SKP1;PPP2CA;AXIN1;PPP2R1A;H2AC4;AP2A1;DVL3;H2BC17;TNRC6B;H3C7;H2AC20;AKT1
prerank,Reactome_2022__Neuronal System R-HSA-112316,0.649738356061682,1.3115484593104023,0.1045828437132785,1.0,0.988,6/15,18.69%,DBNL;GABRA1;RTN3;PRKAA1;DLGAP4;AP2A1
prerank,KEGG_2021_Human__Alzheimer disease,0.58709657368193,1.311502631894885,0.07601713062098502,1.0,0.988,9/29,13.00%,FZD10;FZD9;ITPR2;NDUFS7;ATP5F1A;RTN3;AKT3;AXIN1;ADRM1
prerank,Reactome_2022__Translation R-HSA-72766,-0.4249874278043385,-1.3023393076916112,0.15827338129496402,1.0,0.5768844221105528,7/17,14.66%,RPS7;MRPL12;RPSA;EIF3F;MRPL38;RPS29;RPS24
prerank,KEGG_2021_Human__Chemokine signaling pathway,0.6074736983823832,1.273917574193286,0.148711943793911,1.0,0.999,5/16,20.65%,DOCK2;CCL26;AKT3;IKBKG;BRAF
prerank,Reactome_2022__Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,0.548571843072912,1.2552145985903356,0.12671594508975711,1.0,0.999,14/34,22.61%,PSMB8;VCL;MARK3;PTEN;SKP1;AKT3;PPP2CA;AXIN1;TRIP11;PPP2R1A;AKT1S1;BRAF;POLR2E;HES5
prerank,KEGG_2021_Human__Endocytosis,0.5737423932373458,1.2499983171716333,0.14732142857142858,1.0,0.999,10/25,20.18%,ACAP3;RAB5B;ARF3;EPN1;CLTA;CHMP1A;SNX1;RAB5C;AP2A1;ACAP2
prerank,Reactome_2022__G Alpha (I) Signaling Events R-HSA-418594,0.5859655459108081,1.2492421591666303,0.16186252771618626,1.0,0.999,5/20,17.69%,PDE4D;ITPR2;PPP2CA;PPP2R1A;ADRA2B
prerank,Reactome_2022__Neutrophil Degranulation R-HSA-6798695,0.5382852114881798,1.244684834465848,0.13527575442247658,1.0,0.999,7/41,9.50%,RHOF;DOCK2;STK11IP;RAB5B;DBNL;VCL;CD59
prerank,Reactome_2022__Signaling By Receptor Tyrosine Kinases R-HSA-9006934,0.544752267918407,1.240239678637522,0.13980789754535752,1.0,0.999,15/33,22.73%,KIDINS220;ITPR2;EPN1;CLTA;GABRA1;AKT3;PPP2CA;PPP2R1A;ATP6AP1;AP2A1;REST;BRAF;FES;POLR2E;CDK5R2
prerank,KEGG_2021_Human__Pathways of neurodegeneration,0.5549599361595233,1.2318597066675059,0.17062634989200864,1.0,0.999,7/27,13.00%,FZD10;FZD9;ITPR2;NDUFS7;ATP5F1A;AXIN1;ADRM1
prerank,Reactome_2022__Deubiquitination R-HSA-5688426,0.5411778332874718,1.2285035291706454,0.17088607594936708,1.0,0.999,11/33,22.02%,PSMB8;INO80D;PTEN;AXIN1;ADRM1;YOD1;CLSPN;H2AC4;IKBKG;H2BC17;OTUD5
prerank,KEGG_2021_Human__Lipid and atherosclerosis,-0.3829511924512095,-1.2221275106171683,0.17592592592592593,1.0,0.6773869346733669,4/20,4.39%,MAPK8;CALML5;NFATC3;PPP3R2
prerank,Reactome_2022__S Phase R-HSA-69242,0.6012861438172947,1.2176221804708707,0.21022067363530778,1.0,1.0,12/15,36.20%,PSMB8;ORC4;SKP1;AKT3;SMC3;CDC26;AKT1;CDC27;ANAPC2;ANAPC11;UBC;ANAPC15
prerank,Reactome_2022__Ub-specific Processing Proteases R-HSA-5689880,0.5422209342924661,1.2012439137514523,0.20368364030335862,1.0,1.0,8/27,21.48%,PSMB8;PTEN;AXIN1;ADRM1;CLSPN;H2AC4;IKBKG;H2BC17
prerank,KEGG_2021_Human__Transcriptional misregulation in cancer,0.5903854239288963,1.2007256554293029,0.22706422018348624,1.0,1.0,7/15,25.28%,H3C3;H3C8;PRCC;MLLT1;AFF1;H3C4;H3C7
prerank,Reactome_2022__Signaling By GPCR R-HSA-372790,0.5241437556493894,1.1996455006829374,0.17701863354037267,1.0,1.0,9/40,14.36%,FZD10;FZD9;PDE4D;ITPR2;AKT3;GPHA2;PPP2CA;GNA13;PPP2R1A
prerank,Reactome_2022__RHO GTPase Cycle R-HSA-9012999,0.536922931900181,1.178730974181698,0.2153846153846154,1.0,1.0,8/28,17.51%,RHOF;DOCK2;KIDINS220;ANKRD26;CDC42EP2;GNA13;ATP6AP1;OPHN1
prerank,Reactome_2022__Asparagine N-linked Glycosylation R-HSA-446203,0.5454057043299103,1.1762965763845732,0.2530795072788354,1.0,1.0,4/19,15.67%,SEC24C;ARF3;CD59;UGGT1
prerank,KEGG_2021_Human__Diabetic cardiomyopathy,0.5427134516686537,1.1588209474854247,0.28036322360953464,1.0,1.0,5/19,11.63%,PTPA;NDUFS7;ATP5F1A;PTEN;AKT3
prerank,Reactome_2022__Adaptive Immune System R-HSA-1280218,0.49598808517754533,1.1547279072812215,0.21685508735868447,1.0,1.0,14/52,18.69%,MAP3K14;SEC24C;ITPR2;PSMB8;CLTA;HECTD3;PTEN;SKP1;AKT3;PPP2CA;PPP2R1A;FBXW12;IKBKG;AP2A1
prerank,Reactome_2022__Metabolism Of RNA R-HSA-8953854,0.4995578003352369,1.1527311418188089,0.2732919254658385,1.0,1.0,14/42,24.51%,PSMB8;RBM8A;CNOT3;XAB2;SF3B4;PPP2CA;HNRNPL;PRCC;PPP2R1A;ZMAT5;POLR2E;EDC4;RPS10;RPL15
prerank,Reactome_2022__Intracellular Signaling By Second Messengers R-HSA-9006925,0.5204835370489668,1.146451742626389,0.29955947136563876,1.0,1.0,9/24,19.41%,ITPR2;PSMB8;PTEN;AKT3;EZH2;PPP2CA;PPP2R1A;AKT1S1;REST
prerank,Reactome_2022__Membrane Trafficking R-HSA-199991,0.4806785188186543,1.1410147147149001,0.25661914460285135,1.0,1.0,13/53,18.81%,TBC1D17;SEC24C;RAB5B;ARF3;KIF21B;EPN1;CLTA;CD59;AKT3;TRIP11;RAB5C;AP2A1;TBC1D10A
prerank,Reactome_2022__Vesicle-mediated Transport R-HSA-5653656,0.4806785188186543,1.1410147147149001,0.25661914460285135,1.0,1.0,13/53,18.81%,TBC1D17;SEC24C;RAB5B;ARF3;KIF21B;EPN1;CLTA;CD59;AKT3;TRIP11;RAB5C;AP2A1;TBC1D10A
prerank,Reactome_2022__Transcriptional Regulation By TP53 R-HSA-3700989,0.5235772358146519,1.1387548451654608,0.3,1.0,1.0,7/23,14.36%,CNOT3;PTEN;PRKAA1;AKT3;NDRG1;PPP2CA;PPP2R1A
prerank,Reactome_2022__Innate Immune System R-HSA-168249,0.47208858975711315,1.1361082248125334,0.2383838383838384,1.0,1.0,23/78,23.98%,MAP3K14;RHOF;DOCK2;STK11IP;RAB5B;DBNL;ITPR2;PSMB8;VCL;CD59;RIPK3;SKP1;PPP2CA;PPP2R1A;KCMF1;IKBKG;RAB5C;ARSA;ALOX5;OTUD5;POLR2E;IFNA16;CD53
prerank,KEGG_2021_Human__Huntington disease,0.5300191654708345,1.1277436200063546,0.33598183881952326,1.0,1.0,7/19,22.37%,CLTA;NDUFS7;ATP5F1A;ADRM1;AP2A1;REST;POLR2E
prerank,Reactome_2022__RNA Polymerase II Transcription R-HSA-73857,0.46901647432959953,1.1129510377231324,0.2804020100502513,1.0,1.0,16/74,14.78%,MED25;MAP4K2;PSMB8;RBM8A;CNOT3;BRD2;PTEN;SKP1;PRKAA1;AKT3;EZH2;NDRG1;PPP2CA;AXIN1;PPP2R1A;MLLT1
