Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_2021_Human__Cytokine-cytokine receptor interaction,0.7650112786743305,1.7554172658096696,0.00408997955010225,0.20547945205479454,0.14,5/17,12.28%,CXCL14;TNFSF12;IL10RB;IFNE;CCL5
prerank,Reactome_2022__Signaling By Receptor Tyrosine Kinases R-HSA-9006934,-0.6249034448017341,-1.646276972548835,0.0019083969465648854,1.0,0.436,10/33,11.93%,CLTA;EPN1;GABRA1;AP2A1;FES;KIDINS220;ATP6AP1;AKT1;NCSTN;BRAF
prerank,Reactome_2022__Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,0.7205729513090249,1.629732645798339,0.011976047904191617,0.5488707885968159,0.501,8/16,14.60%,PLPPR2;DRD5;C5AR1;MC5R;CCL5;GPHA2;NPBWR1;AVPR2
prerank,Reactome_2022__Axon Guidance R-HSA-422475,-0.5973474245924142,-1.616355366973222,0.017892644135188866,0.48651091384070627,0.539,12/34,19.35%,CLTA;PSMB8;AGAP2;AP2A1;FES;NCSTN;RBM8A;LYPLA2;PSMA5;RPS7;RPL15;RPSA
prerank,Reactome_2022__Nervous System Development R-HSA-9675108,-0.5973474245924142,-1.616355366973222,0.017892644135188866,0.48651091384070627,0.539,12/34,19.35%,CLTA;PSMB8;AGAP2;AP2A1;FES;NCSTN;RBM8A;LYPLA2;PSMA5;RPS7;RPL15;RPSA
prerank,Reactome_2022__Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,-0.5750255648281923,-1.520642564017968,0.02564102564102564,0.9293076551647291,0.834,10/34,14.72%,TRIP11;PSMB8;SKP1;VCL;AXIN1;AKT1;NCSTN;PTEN;BRAF;PSMA5
prerank,GO_Cellular_Component_2021__secretory granule membrane (GO:0030667),0.6048768093077135,1.5095665544927945,0.026915113871635612,1.0,0.88,8/25,11.99%,ABCC4;RAB4B;RAB24;CD59;PHACTR2;PTPRJ;C5AR1;CD53
prerank,GO_Molecular_Function_2021__receptor ligand activity (GO:0048018),0.6417690917405715,1.4814740931516102,0.04563492063492063,1.0,0.918,4/18,14.78%,TNFSF12;IFNE;CCL5;MIF
prerank,Reactome_2022__Signaling By WNT R-HSA-195721,-0.5494153457472891,-1.439780000180483,0.044585987261146494,1.0,0.961,10/31,14.84%,CLTA;H2AC20;PSMB8;SKP1;AP2A1;AXIN1;FZD9;AKT1;PSMA5;H2AC4
prerank,GO_Biological_Process_2021__anterograde trans-synaptic signaling (GO:0098916),0.5904130524847689,1.4356042796539847,0.053169734151329244,1.0,0.963,10/21,21.60%,OR10H1;OR10J5;PCDHB4;OR6T1;DRD5;OMP;NPBWR1;OR10H3;OR5T2;PCDHB11
prerank,GO_Molecular_Function_2021__guanyl ribonucleotide binding (GO:0032561),-0.6249646193170546,-1.4208474858646347,0.06748466257668712,1.0,0.975,6/15,19.53%,AGAP2;ARF3;RASEF;RHOF;RABL6;ARL14
prerank,GO_Cellular_Component_2021__integral component of plasma membrane (GO:0005887),0.46588027982509095,1.417599838693656,0.023255813953488372,1.0,0.972,22/71,14.60%,PLPPR2;OR10H1;KCNF1;OR10J5;PCDHB4;OR6T1;TNFSF12;PTPRA;IL10RB;PCDH11Y;GJD3;GPR52;DRD5;PTPRJ;C5AR1;MC5R;PCDHB8;CD53;OR56A1;NPBWR1;MFSD12;AVPR2
prerank,GO_Biological_Process_2021__regulation of gene expression (GO:0010468),0.4697921280244804,1.410527892013424,0.01953125,1.0,0.974,23/77,21.66%,TIPARP;UBE2V1;HMGA1;KAT6B;REL;RNF187;TRIML2;ZNF451;AFF1;PQBP1;ZNF460;TNRC6B;H3C1;HNRNPL;EZH2;AVPR2;MIF;MLX;CALCOCO1;REST;CASP8;NFIA;FOXN2
prerank,Reactome_2022__Transport Of Small Molecules R-HSA-382551,-0.5519694516829152,-1.409797582399964,0.043912175648702596,1.0,0.98,12/29,20.59%,CLTA;PSMB8;SKP1;AP2A1;SLC8B1;ATP13A1;ATP6AP1;PSMA5;DERL2;VDAC2;SLC5A3;APOBR
