Name   , Term                                                                                                         , ES                  , NES                , NOM p-val           , FDR q-val           , FWER p-val, Tag % , Gene %, Lead_genes
prerank, Reactome_2022__RAF/MAP Kinase Cascade R-HSA-5673001                                                          , 0.4116824026946781  , 1.8721149940876138 , 0.0                 , 0.0                 ,       0.0 , 8/16  , 14.07%, PTPRA;BRAF;PSMB8;MARK3;VCL;PPP2R5C;RAPGEF2;EREG
prerank, Reactome_2022__MAPK1/MAPK3 Signaling R-HSA-5684996                                                           , 0.4116824026946781  , 1.8721149940876138 , 0.0                 , 0.0                 ,       0.0 , 8/16  , 14.07%, PTPRA;BRAF;PSMB8;MARK3;VCL;PPP2R5C;RAPGEF2;EREG
prerank, KEGG_2021_Human__Pathways of neurodegeneration                                                               , 0.37229738067076895 , 1.7165709010496875 , 0.0                 , 0.0                 ,       0.0 , 11/27 , 12.23%, APC;ATP5F1A;ADRM1;AXIN1;CALML5;FZD9;BRAF;ATG13;VDAC2;ITPR2;FZD10
prerank, KEGG_2021_Human__Alzheimer disease                                                                           , 0.3359790657971469  , 1.6006508829732542 , 0.2                 , 0.014240506329113924,       0.02, 12/29 , 12.23%, APC;ATP5F1A;ADRM1;AXIN1;CALML5;FZD9;BRAF;AKT1;ATG13;VDAC2;ITPR2;FZD10
prerank, Reactome_2022__Interferon Signaling R-HSA-913531                                                             , -0.4994426168397451 , -1.452569179454711 , 0.043010752688172046, 1.0                 ,       0.8 , 8/15  , 27.95%, CD44;IFNA10;HLA-F;PRKCD;NUP153;IFNA4;IFNGR2;IFNA17
prerank, Reactome_2022__Keratinization R-HSA-6805567                                                                  , -0.38030206559480084, -1.3399170757264467, 0.03                , 1.0                 ,       0.98, 38/67 , 36.97%, KRTAP5-10;LCE4A;LCE1C;KRTAP23-1;KRTAP10-8;KRTAP6-2;KRTAP9-1;KRTAP3-1;KRTAP19-4;KRTAP4-3;KRTAP4-1;KRTAP4-9;KRTAP9-8;KRTAP17-1;KRTAP10-6;KRTAP21-2;KRTAP5-4;KRTAP10-5;KRTAP16-1;KRTAP3-3;KRTAP2-2;KRTAP10-10;KLK5;KRTAP19-6;KRTAP1-1;LCE3A;KRTAP15-1;KRTAP13-1;KRTAP12-2;KRTAP19-2;KRTAP13-4;KRTAP10-7;KRTAP10-11;KRTAP19-7;KRTAP4-5;LCE1A;KRTAP10-4;KRTAP27-1
prerank, Reactome_2022__HCMV Late Events R-HSA-9610379                                                                , -0.44339490411605254, -1.3376668286241   , 0.09375             , 1.0                 ,       0.98, 14/22 , 42.31%, H2BC14;H2BC1;H2BC15;NUP153;CD46;H2BC13;H2BC26;H2AC14;H2AC12;H2AC1;H2AC21;H2AC11;MVB12A;H3C13
prerank, Reactome_2022__Chromosome Maintenance R-HSA-73886                                                            , -0.4749185122706623 , -1.3252672903183724, 0.08695652173913043 , 1.0                 ,       0.98, 8/16  , 34.01%, H2BC14;H2BC1;H2BC15;POLR2A;H2BC13;H2BC26;NPM1;H2AC14
prerank, Reactome_2022__Mitotic Prophase R-HSA-68875                                                                  , -0.450245198438156  , -1.3241090250434102, 0.10526315789473684 , 1.0                 ,       0.98, 10/19 , 34.01%, H2BC14;H2BC1;H2BC15;NUP153;H2BC13;H2BC26;EMD;SMC4;NEK7;H2AC14
prerank, Reactome_2022__Class A/1 (Rhodopsin-like Receptors) R-HSA-373076                                             , -0.4684294560482634 , -1.3054806961962404, 0.10344827586206896 , 1.0                 ,       0.98, 10/16 , 43.92%, GPR31;ADRA2C;HTR1A;NPBWR2;PLPPR2;DHX34;CCL21;CHRM4;C5AR1;NPBWR1
