Name   , Term                                                                                                                                        , ES                  , NES                , NOM p-val           , FDR q-val          , FWER p-val, Tag %  , Gene %, Lead_genes
prerank, Reactome_2022__RUNX2 Regulates Osteoblast Differentiation R-HSA-8940973                                                                     , 0.590346612985361   , 2.123689189900642  , 0.0                 , 0.11624546690843154,       0.1 , 8/18   , 10.74%, SRC;YES1;MAPK1;AREG;GATD3;RB1;HDAC3;HDAC6
prerank, Reactome_2022__Surfactant Metabolism R-HSA-5683826                                                                                          , 0.6648161073617488  , 2.071604219214322  , 0.0                 , 0.07925827289211242,       0.14, 4/15   , 2.23% , PGA4;TTF1;ABCA3;CSF2RB
prerank, Reactome_2022__Diseases Associated With N-glycosylation Of Proteins R-HSA-3781860                                                           , 0.5773827010788636  , 2.005827198641477  , 0.0                 , 0.11624546690843154,       0.24, 4/19   , 4.20% , ALG13;B4GALT1;MPDU1;ALG11
prerank, KEGG_2021_Human__Cytosolic DNA-sensing pathway                                                                                              , 0.4794673986673931  , 1.9880450428801673 , 0.0                 , 0.10039381233000906,       0.29, 14/46  , 12.08%, POLR1C;IRF3;POLR3K;AIM2;POLR2H;IL18;RIPK1;RIPK3;POLR2E;MAVS;POLR3A;POLR3F;CCL4L2;IKBKG
prerank, Reactome_2022__Signaling By ALK R-HSA-201556                                                                                                , 0.552474762313903   , 1.9083315546297281 , 0.0                 , 0.20501473254759744,       0.57, 10/22  , 18.93%, SRC;FRS2;JAK3;PIK3CB;PRDM1;HIF1A;HDAC3;SIN3A;PIK3R1;PLCG1
prerank, KEGG_2021_Human__Arginine biosynthesis                                                                                                      , -0.6010552017607701 , -1.878408461515625 , 0.0                 , 1.0                ,       0.53, 8/15   , 20.76%, GOT1;NAGS;GOT2;ABHD14A-ACY1;GLUD1;ARG1;GLUL;ASL
prerank, KEGG_2021_Human__Basal transcription factors                                                                                                , -0.4284330882946178 , -1.848688774323175 , 0.0                 , 0.7299865617200998 ,       0.61, 6/41   , 3.46% , GTF2F2;TAF13;MNAT1;TAF10;GTF2A2;GTF2H3
prerank, Reactome_2022__RUNX2 Regulates Bone Development R-HSA-8941326                                                                               , 0.4984526595384258  , 1.7725121997104578 , 0.0                 , 0.5935563992142641 ,       0.9 , 8/22   , 10.74%, SRC;YES1;MAPK1;AREG;GATD3;RB1;HDAC3;HDAC6
prerank, Reactome_2022__Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769                                                   , -0.44199173428803284, -1.7695081451237553, 0.020833333333333332, 0.9234018045690152 ,       0.88, 8/23   , 8.93% , LY96;TNFRSF10A;TRADD;CASP3;MAGED1;APPL1;TNFSF10;FADD
prerank, Reactome_2022__Nuclear Events Stimulated By ALK Signaling In Cancer R-HSA-9725371                                                           , 0.5058281619550533  , 1.7671203759694125 , 0.0                 , 0.5223497603937315 ,       0.9 , 8/18   , 15.49%, MECP2;MAPK1;CLTC;FN1;RPS6;RNASEH2A;CEBPB;BCL2A1
prerank, Reactome_2022__Downstream Signal Transduction R-HSA-186763                                                                                  , 0.4587859401380314  , 1.7456594132369672 , 0.0                 , 0.5363143132366274 ,       0.92, 14/26  , 20.96%, PDGFB;SRC;PIK3CB;CRK;STAT1;NCK1;RAPGEF1;NRAS;PDGFRB;STAT6;PIK3R1;PLCG1;STAT5A;CRKL
