gene,TPM
ENSG00000000003.16,1.0559669999999999
ENSG00000000005.6,0.172058
ENSG00000000419.14,8.061632
ENSG00000000457.14,1.479619
ENSG00000000460.17,0.7525250000000001
ENSG00000000938.13,2.640478
ENSG00000000971.17,4.769386
ENSG00000001036.14,2.474303
ENSG00000001084.13,27.574554
ENSG00000001167.15,5.86248
ENSG00000001460.18,5.056706
ENSG00000001461.19,25.290087
ENSG00000001497.18,8.40326
ENSG00000001561.7,4.161962
ENSG00000001617.12,0.74457
ENSG00000001626.18,17.203277999999997
ENSG00000001629.10,36.324334
ENSG00000001630.18,11.115271
ENSG00000001631.17,12.133627
ENSG00000002016.18,13.791051
ENSG00000002330.14,18.433688
ENSG00000002549.13,22.536698
ENSG00000002586.20,19.983974
ENSG00000002587.10,2.1859020000000005
ENSG00000002726.21,0.0
ENSG00000002745.13,0.102532
ENSG00000002746.15,18.166151
ENSG00000002822.16,12.41251
ENSG00000002834.19,16.648101
ENSG00000002919.15,11.827309
ENSG00000002933.9,1.932489
ENSG00000003056.8,15.973671
ENSG00000003096.15,0.762339
ENSG00000003137.9,2.228518
ENSG00000003147.19,16.237614
ENSG00000003249.15,7.932783000000001
ENSG00000003393.16,15.147854
ENSG00000003400.16,1.898374
ENSG00000003402.21,35.543811
ENSG00000003436.16,2.592989
ENSG00000003509.16,4.588222
ENSG00000003756.17,88.62176
ENSG00000003987.14,10.404477
ENSG00000003989.18,1.459872
ENSG00000004059.11,19.842121
ENSG00000004139.14,6.674468
ENSG00000004142.12,7.570597
ENSG00000004399.13,28.706401
ENSG00000004455.18,17.10555
ENSG00000004468.13,1.679015
ENSG00000004478.8,35.102485
ENSG00000004487.18,7.9892520000000005
ENSG00000004534.15,43.679349
ENSG00000004660.15,18.329288000000002
ENSG00000004700.16,2.128289
ENSG00000004766.17,12.932445
ENSG00000004776.13,2.311005
ENSG00000004777.19,14.962067999999999
ENSG00000004779.10,14.197382
ENSG00000004799.8,15.919041
ENSG00000004809.14,0.0
ENSG00000004838.14,0.699484
ENSG00000004846.17,0.272752
ENSG00000004848.8,10.786416000000001
ENSG00000004864.14,12.138760000000001
ENSG00000004866.22,7.890832
ENSG00000004897.12,16.040182
ENSG00000004939.16,0.363901
ENSG00000004948.16,0.0
ENSG00000004961.15,3.147144
ENSG00000004975.12,11.506285
ENSG00000005001.10,0.0
ENSG00000005007.14,17.263806
ENSG00000005020.13,5.050649
ENSG00000005022.6,37.303760999999994
ENSG00000005059.16,0.329864
ENSG00000005073.6,0.0
ENSG00000005075.16,5.097282
ENSG00000005100.13,3.197361
ENSG00000005102.14,0.0
ENSG00000005108.17,4.603371
ENSG00000005156.12,21.398528
ENSG00000005175.10,4.459156
ENSG00000005187.12,0.521239
ENSG00000005189.20,0.5704089999999999
ENSG00000005194.15,13.848549
ENSG00000005206.17,17.884622
ENSG00000005238.20,3.472368
ENSG00000005243.10,2.64733
ENSG00000005249.14,6.097563
ENSG00000005302.19,7.017253999999999
ENSG00000005339.15,25.529149
ENSG00000005379.17,24.062137
ENSG00000005381.9,0.20312799999999998
ENSG00000005421.9,0.022836
ENSG00000005436.14,2.310388
ENSG00000005448.17,3.028129
ENSG00000005469.12,2.67298
ENSG00000005471.19,0.182244
ENSG00000005483.23,19.34559
ENSG00000005486.17,21.2545
ENSG00000005513.11,16.293918
ENSG00000005700.15,7.420166
ENSG00000005801.18,9.752468
ENSG00000005810.20,45.154849
ENSG00000005812.11,11.203519
ENSG00000005844.19,1.81686
ENSG00000005882.12,20.979667
ENSG00000005884.18,7.76491
ENSG00000005889.16,16.376595000000002
ENSG00000005893.17,42.207682
ENSG00000005961.19,1.211621
ENSG00000005981.13,0.567031
ENSG00000006007.12,16.838321
ENSG00000006015.18,14.304283
ENSG00000006016.12,2.61643
ENSG00000006025.13,5.423328
ENSG00000006042.12,23.053341
ENSG00000006047.13,0.726619
ENSG00000006059.4,0.0
ENSG00000006062.18,1.659662
ENSG00000006071.16,11.398366
ENSG00000006116.4,5.183817
ENSG00000006118.15,17.848285
ENSG00000006125.18,26.845175
ENSG00000006128.12,1.572444
ENSG00000006194.12,5.239723
ENSG00000006210.7,16.387492
ENSG00000006282.22,9.105619
ENSG00000006283.18,3.681339
ENSG00000006327.14,0.770435
ENSG00000006377.11,0.049798
ENSG00000006432.16,6.218415
ENSG00000006451.8,10.214851
ENSG00000006453.14,0.950024
ENSG00000006459.11,3.060959
