gene,TPM
ENSG00000000003.16,14.796629
ENSG00000000005.6,0.0
ENSG00000000419.14,57.709438999999996
ENSG00000000457.14,6.4670890000000005
ENSG00000000460.17,4.025827
ENSG00000000938.13,0.0
ENSG00000000971.17,0.375384
ENSG00000001036.14,18.757054
ENSG00000001084.13,29.513871
ENSG00000001167.15,33.560376
ENSG00000001460.18,5.258351
ENSG00000001461.19,18.766029
ENSG00000001497.18,22.94728
ENSG00000001561.7,3.540837
ENSG00000001617.12,59.038832
ENSG00000001626.18,0.0
ENSG00000001629.10,24.613788
ENSG00000001630.18,205.872981
ENSG00000001631.17,13.121749
ENSG00000002016.18,9.588599
ENSG00000002330.14,70.29686
ENSG00000002549.13,16.941101000000003
ENSG00000002586.20,1.146499
ENSG00000002587.10,10.834518
ENSG00000002726.21,0.0
ENSG00000002745.13,0.0
ENSG00000002746.15,11.594128
ENSG00000002822.16,32.635165
ENSG00000002834.19,77.82312
ENSG00000002919.15,25.079842
ENSG00000002933.9,23.845273
ENSG00000003056.8,53.2835
ENSG00000003096.15,0.04982
ENSG00000003137.9,0.121657
ENSG00000003147.19,43.500227
ENSG00000003249.15,86.998776
ENSG00000003393.16,37.504706
ENSG00000003400.16,0.015709
ENSG00000003402.21,24.869843
ENSG00000003436.16,0.236819
ENSG00000003509.16,15.6721
ENSG00000003756.17,177.076755
ENSG00000003987.14,23.612281000000003
ENSG00000003989.18,0.164824
ENSG00000004059.11,215.093005
ENSG00000004139.14,38.084981
ENSG00000004142.12,61.049696000000004
ENSG00000004399.13,1.884426
ENSG00000004455.18,71.180615
ENSG00000004468.13,0.0
ENSG00000004478.8,85.835546
ENSG00000004487.18,245.53828199999998
ENSG00000004534.15,58.823866
ENSG00000004660.15,4.663214
ENSG00000004700.16,21.641875
ENSG00000004766.17,22.741575
ENSG00000004776.13,0.658821
ENSG00000004777.19,48.536356999999995
ENSG00000004779.10,157.197433
ENSG00000004799.8,0.937965
ENSG00000004809.14,0.067945
ENSG00000004838.14,1.374943
ENSG00000004846.17,0.033077999999999996
ENSG00000004848.8,0.0
ENSG00000004864.14,26.542749
ENSG00000004866.22,79.962924
ENSG00000004897.12,44.41456
ENSG00000004939.16,0.075464
ENSG00000004948.16,0.015769
ENSG00000004961.15,27.483299
ENSG00000004975.12,27.011536
ENSG00000005001.10,0.0
ENSG00000005007.14,24.830500999999998
ENSG00000005020.13,7.419345
ENSG00000005022.6,145.25113299999998
ENSG00000005059.16,1.4749560000000002
ENSG00000005073.6,0.0
ENSG00000005075.16,31.940058
ENSG00000005100.13,12.104616
ENSG00000005102.14,0.0
ENSG00000005108.17,67.144633
ENSG00000005156.12,40.022508
ENSG00000005175.10,22.161043
ENSG00000005187.12,0.342067
ENSG00000005189.20,4.246848
ENSG00000005194.15,166.457051
ENSG00000005206.17,30.684953
ENSG00000005238.20,14.560143
ENSG00000005243.10,0.236681
ENSG00000005249.14,57.541253
ENSG00000005302.19,27.984068
ENSG00000005339.15,36.805425
ENSG00000005379.17,26.099
ENSG00000005381.9,0.348406
ENSG00000005421.9,5.444176
ENSG00000005436.14,10.137041
ENSG00000005448.17,35.56398600000001
ENSG00000005469.12,4.757536
ENSG00000005471.19,0.12272
ENSG00000005483.23,51.347008
ENSG00000005486.17,78.428807
ENSG00000005513.11,0.7978839999999999
ENSG00000005700.15,16.517549
ENSG00000005801.18,60.800955
ENSG00000005810.20,110.524336
ENSG00000005812.11,26.235334
ENSG00000005844.19,0.582788
ENSG00000005882.12,32.945545
ENSG00000005884.18,5.094537
ENSG00000005889.16,17.180519
ENSG00000005893.17,47.934179
ENSG00000005961.19,0.78661
ENSG00000005981.13,0.281642
ENSG00000006007.12,48.805061
ENSG00000006015.18,59.964942
ENSG00000006016.12,3.6098479999999995
ENSG00000006025.13,4.055738
ENSG00000006042.12,30.567283999999997
ENSG00000006047.13,0.950402
ENSG00000006059.4,0.0
ENSG00000006062.18,1.808268
ENSG00000006071.16,1.91052
ENSG00000006116.4,0.0
ENSG00000006118.15,262.438652
ENSG00000006125.18,196.830881
ENSG00000006128.12,0.0
ENSG00000006194.12,20.932433
ENSG00000006210.7,0.047261
ENSG00000006282.22,8.838983
ENSG00000006283.18,0.334719
ENSG00000006327.14,0.907369
ENSG00000006377.11,0.0
ENSG00000006432.16,2.768069
ENSG00000006451.8,186.530331
ENSG00000006453.14,0.972099
ENSG00000006459.11,8.004049
ENSG00000006468.15,253.66063499999998
ENSG00000006530.18,25.401251
ENSG00000006534.17,0.391373
ENSG00000006555.11,0.016626
ENSG00000006576.17,14.961256
ENSG00000006606.9,0.0
ENSG00000006607.14,22.503328
ENSG00000006611.17,9.955474
ENSG00000006625.18,39.546856999999996
ENSG00000006634.8,11.127819
ENSG00000006638.13,1.3944420000000002
ENSG00000006652.15,85.043922
ENSG00000006659.13,0.0
ENSG00000006695.12,10.957003
ENSG00000006704.11,41.584956000000005
ENSG00000006712.15,43.256778
ENSG00000006715.16,126.66774799999999
ENSG00000006740.18,5.2074240000000005
ENSG00000006744.19,51.725079
ENSG00000006747.15,0.353775
ENSG00000006756.16,5.675209
ENSG00000006757.12,0.254702
ENSG00000006788.14,0.0
ENSG00000006831.10,65.812856
ENSG00000006837.12,6.544255
ENSG00000007001.14,0.048595
ENSG00000007038.11,0.0
ENSG00000007047.16,109.93402
ENSG00000007062.12,4.297734
ENSG00000007080.11,121.19160600000001
ENSG00000007129.18,0.0
ENSG00000007168.15,190.37314700000002
ENSG00000007171.19,0.243576
ENSG00000007174.18,1.8763459999999998
ENSG00000007202.16,33.358429
ENSG00000007216.16,0.026632
ENSG00000007237.19,2.183628
ENSG00000007255.10,35.521997
ENSG00000007264.15,0.459634
ENSG00000007306.15,0.0
ENSG00000007312.14,0.262979
ENSG00000007314.12,0.346693
ENSG00000007341.19,18.332926
ENSG00000007350.18,0.0
ENSG00000007372.25,19.741297
ENSG00000007376.8,14.533713
ENSG00000007384.15,4.884744
ENSG00000007392.17,146.777971
ENSG00000007402.12,4.314583
ENSG00000007516.15,1.694905
ENSG00000007520.4,63.779865
ENSG00000007541.17,57.912122
ENSG00000007545.16,17.212283
ENSG00000007866.22,12.62375
ENSG00000007908.16,0.0
ENSG00000007923.17,46.728438999999995
ENSG00000007933.13,0.200428
ENSG00000007944.16,6.62743
ENSG00000007952.18,0.0
ENSG00000007968.7,0.081949
ENSG00000008018.9,255.33084
ENSG00000008056.14,59.576639
ENSG00000008083.14,40.274992999999995
ENSG00000008086.13,6.564349
ENSG00000008118.10,2.506156
ENSG00000008128.23,20.780448
ENSG00000008130.15,73.362436
ENSG00000008196.13,0.0
ENSG00000008197.5,0.0
ENSG00000008226.20,0.39034800000000003
ENSG00000008256.17,26.970771
ENSG00000008277.15,13.563582
ENSG00000008282.10,4.065078
ENSG00000008283.16,20.939953
ENSG00000008294.22,130.531646
ENSG00000008300.17,43.464936
ENSG00000008311.16,8.113965
ENSG00000008323.16,0.12732500000000002
ENSG00000008324.12,34.987194
ENSG00000008382.16,20.231468
ENSG00000008394.13,1.200642
ENSG00000008405.12,15.531926
ENSG00000008438.5,0.0
ENSG00000008441.19,0.03017
ENSG00000008513.17,8.380979
ENSG00000008516.19,0.045898
ENSG00000008517.19,0.092805
ENSG00000008710.20,60.193625
ENSG00000008735.14,58.780421000000004
ENSG00000008838.21,113.819542
ENSG00000008853.18,27.429444
ENSG00000008869.12,13.946961
ENSG00000008952.17,147.02244100000001
ENSG00000008988.11,741.301196
ENSG00000009307.17,383.97809
ENSG00000009335.19,37.765751
ENSG00000009413.17,9.668392
ENSG00000009694.14,0.016597
ENSG00000009709.13,0.008785
ENSG00000009724.18,0.0
ENSG00000009765.15,0.756048
ENSG00000009780.16,8.168854
ENSG00000009790.15,0.174038
ENSG00000009830.13,233.034416
ENSG00000009844.16,69.94375699999999
ENSG00000009950.16,0.5315300000000001
ENSG00000009954.11,65.075056
ENSG00000010017.13,52.630839
ENSG00000010030.14,0.050614
ENSG00000010072.16,13.333960000000001
ENSG00000010165.20,16.007057
ENSG00000010219.14,26.761351
ENSG00000010244.19,155.49316299999998
ENSG00000010256.12,157.68016
ENSG00000010270.14,181.734587
ENSG00000010278.15,0.0
ENSG00000010282.15,0.5767990000000001
ENSG00000010292.13,17.54619
ENSG00000010295.20,19.931039000000002
ENSG00000010310.9,8.533093999999998
ENSG00000010318.22,6.2890809999999995
ENSG00000010319.7,1.557312
ENSG00000010322.16,107.732386
ENSG00000010327.10,0.170728
ENSG00000010361.14,32.36669
ENSG00000010379.16,0.20778400000000002
ENSG00000010404.18,70.691389
ENSG00000010438.17,0.0
ENSG00000010539.12,16.552921
ENSG00000010610.10,1.147415
ENSG00000010626.15,6.052985
ENSG00000010671.18,2.136108
ENSG00000010704.20,0.466143
ENSG00000010803.18,20.757084
ENSG00000010810.18,361.400408
ENSG00000010818.11,14.045203
ENSG00000010932.17,0.0
ENSG00000011007.13,35.244501
ENSG00000011009.12,223.972755
ENSG00000011021.23,35.39156199999999
ENSG00000011028.14,0.268201
ENSG00000011052.21,5.314815
ENSG00000011083.9,0.046565
ENSG00000011105.14,70.314538
ENSG00000011114.15,4.403809
ENSG00000011132.12,12.227807
ENSG00000011143.19,17.642231
ENSG00000011198.10,10.623994999999999
ENSG00000011201.12,0.017418
ENSG00000011243.19,78.127173
ENSG00000011258.16,26.199559999999998
ENSG00000011260.14,27.405206
ENSG00000011275.19,24.52648
ENSG00000011295.16,62.83601
ENSG00000011304.22,61.975672
ENSG00000011332.22,30.174856
ENSG00000011347.10,55.887397
ENSG00000011376.12,13.435983
ENSG00000011405.14,13.014693
ENSG00000011422.12,1.4026580000000002
ENSG00000011426.11,1.234778
ENSG00000011451.21,61.827274
ENSG00000011454.18,71.575774
ENSG00000011465.18,0.0
ENSG00000011478.13,2.675059
ENSG00000011485.15,107.359828
ENSG00000011523.15,44.561358
ENSG00000011566.15,32.309486
