gene,TPM
ENSG00000000003.16,6.328964
ENSG00000000005.6,2.051249
ENSG00000000419.14,22.200244
ENSG00000000457.14,2.487313
ENSG00000000460.17,1.186055
ENSG00000000938.13,2.450285
ENSG00000000971.17,20.894481
ENSG00000001036.14,3.0160020000000003
ENSG00000001084.13,13.180918
ENSG00000001167.15,0.854716
ENSG00000001460.18,22.072902
ENSG00000001461.19,5.968251
ENSG00000001497.18,3.053242
ENSG00000001561.7,0.757898
ENSG00000001617.12,0.264543
ENSG00000001626.18,183.595578
ENSG00000001629.10,5.695141
ENSG00000001630.18,7.005242
ENSG00000001631.17,29.070790000000002
ENSG00000002016.18,5.3985129999999995
ENSG00000002330.14,0.712343
ENSG00000002549.13,5.856966
ENSG00000002586.20,9.513706
ENSG00000002587.10,1.487169
ENSG00000002726.21,1.061893
ENSG00000002745.13,0.675498
ENSG00000002746.15,16.037704
ENSG00000002822.16,1.820566
ENSG00000002834.19,11.359273
ENSG00000002919.15,46.775046
ENSG00000002933.9,31.545221
ENSG00000003056.8,6.662020999999999
ENSG00000003096.15,1.557235
ENSG00000003137.9,0.54592
ENSG00000003147.19,7.023323
ENSG00000003249.15,0.444629
ENSG00000003393.16,25.654107
ENSG00000003400.16,13.775876
ENSG00000003402.21,37.135301
ENSG00000003436.16,35.013728
ENSG00000003509.16,7.7918400000000005
ENSG00000003756.17,17.09391
ENSG00000003987.14,4.509208
ENSG00000003989.18,1.405317
ENSG00000004059.11,0.250504
ENSG00000004139.14,0.763049
ENSG00000004142.12,0.404686
ENSG00000004399.13,4.0120640000000005
ENSG00000004455.18,42.705653
ENSG00000004468.13,3.0970220000000004
ENSG00000004478.8,1.242863
ENSG00000004487.18,17.064866
ENSG00000004534.15,45.640710999999996
ENSG00000004660.15,2.3466839999999998
ENSG00000004700.16,2.03637
ENSG00000004766.17,6.513415
ENSG00000004776.13,0.485688
ENSG00000004777.19,0.768308
ENSG00000004779.10,3.3020389999999997
ENSG00000004799.8,2.754481
ENSG00000004809.14,4.432804
ENSG00000004838.14,0.0
ENSG00000004846.17,7.0233550000000005
ENSG00000004848.8,0.375913
ENSG00000004864.14,1.355201
ENSG00000004866.22,10.845063
ENSG00000004897.12,79.499487
ENSG00000004939.16,2.5306620000000004
ENSG00000004948.16,1.8125760000000002
ENSG00000004961.15,0.855019
ENSG00000004975.12,6.672759
ENSG00000005001.10,1.263834
ENSG00000005007.14,3.539164
ENSG00000005020.13,13.263535
ENSG00000005022.6,4.9489730000000005
ENSG00000005059.16,2.578768
ENSG00000005073.6,0.0
ENSG00000005075.16,0.860956
ENSG00000005100.13,0.9371149999999999
ENSG00000005102.14,0.323258
ENSG00000005108.17,3.20422
ENSG00000005156.12,5.8748320000000005
ENSG00000005175.10,4.121464
ENSG00000005187.12,9.260812999999999
ENSG00000005189.20,3.476972
ENSG00000005194.15,3.720164
ENSG00000005206.17,1.3953630000000001
ENSG00000005238.20,2.2751580000000002
ENSG00000005243.10,40.145782
ENSG00000005249.14,14.808316
ENSG00000005302.19,4.968119
ENSG00000005339.15,69.023473
ENSG00000005379.17,1.373487
ENSG00000005381.9,0.509478
ENSG00000005421.9,2.557337
ENSG00000005436.14,3.436145
ENSG00000005448.17,3.979662
ENSG00000005469.12,1.069767
ENSG00000005471.19,8.463027
ENSG00000005483.23,15.177416000000001
ENSG00000005486.17,28.818447999999997
ENSG00000005513.11,0.164341
ENSG00000005700.15,3.969344
ENSG00000005801.18,11.55181
ENSG00000005810.20,32.630056
ENSG00000005812.11,1.9056870000000001
ENSG00000005844.19,19.756417
ENSG00000005882.12,5.168429
ENSG00000005884.18,9.055136000000001
ENSG00000005889.16,4.234779
ENSG00000005893.17,9.666813000000001
ENSG00000005961.19,1.498395
ENSG00000005981.13,9.936200000000001
ENSG00000006007.12,2.616194
ENSG00000006015.18,9.105698
ENSG00000006016.12,0.725535
ENSG00000006025.13,0.472911
ENSG00000006042.12,12.826536
ENSG00000006047.13,0.318675
ENSG00000006059.4,0.0
ENSG00000006062.18,0.346475
ENSG00000006071.16,10.363082
ENSG00000006116.4,0.822592
ENSG00000006118.15,0.794513
ENSG00000006125.18,4.456341
ENSG00000006128.12,0.270199
ENSG00000006194.12,0.688748
ENSG00000006210.7,1.360231
ENSG00000006282.22,0.416923
ENSG00000006283.18,2.106881
ENSG00000006327.14,0.310451
ENSG00000006377.11,2.7361210000000002
ENSG00000006432.16,1.653309
ENSG00000006451.8,1.020664
ENSG00000006453.14,6.331851
ENSG00000006459.11,1.084454
ENSG00000006468.15,9.726448000000001
ENSG00000006530.18,18.681617
ENSG00000006534.17,1.409882
ENSG00000006555.11,4.572714
ENSG00000006576.17,4.114072
ENSG00000006606.9,1.297313
ENSG00000006607.14,13.156942
ENSG00000006611.17,0.261978
ENSG00000006625.18,0.902231
ENSG00000006634.8,2.871045
ENSG00000006638.13,15.681581
ENSG00000006652.15,5.059348
