gene,TPM
ENSG00000000003.16,19.896898
ENSG00000000005.6,0.29886100000000004
ENSG00000000419.14,18.531695000000003
ENSG00000000457.14,3.1601809999999997
ENSG00000000460.17,1.514079
ENSG00000000938.13,2.4167080000000003
ENSG00000000971.17,9.881493
ENSG00000001036.14,21.843278
ENSG00000001084.13,7.146573
ENSG00000001167.15,3.8721550000000002
ENSG00000001460.18,3.564301
ENSG00000001461.19,5.782784
ENSG00000001497.18,5.3910659999999995
ENSG00000001561.7,5.840254
ENSG00000001617.12,6.331364
ENSG00000001626.18,32.577031999999996
ENSG00000001629.10,3.949178
ENSG00000001630.18,16.448342
ENSG00000001631.17,4.1644179999999995
ENSG00000002016.18,4.807496
ENSG00000002330.14,22.204031999999998
ENSG00000002549.13,62.065068
ENSG00000002586.20,47.279549
ENSG00000002587.10,2.144111
ENSG00000002726.21,129.807963
ENSG00000002745.13,0.041766
ENSG00000002746.15,0.369602
ENSG00000002822.16,3.2247500000000002
ENSG00000002834.19,64.46155999999999
ENSG00000002919.15,5.44088
ENSG00000002933.9,120.159136
ENSG00000003056.8,35.393433
ENSG00000003096.15,0.254296
ENSG00000003137.9,0.135716
ENSG00000003147.19,20.301321
ENSG00000003249.15,1.374568
ENSG00000003393.16,2.205575
ENSG00000003400.16,17.112647
ENSG00000003402.21,28.529741
ENSG00000003436.16,3.6167569999999998
ENSG00000003509.16,2.606493
ENSG00000003756.17,24.253378
ENSG00000003987.14,0.207035
ENSG00000003989.18,0.364811
ENSG00000004059.11,77.72444399999999
ENSG00000004139.14,1.920527
ENSG00000004142.12,22.733455
ENSG00000004399.13,6.8162769999999995
ENSG00000004455.18,55.90493
ENSG00000004468.13,2.894984
ENSG00000004478.8,14.821646
ENSG00000004487.18,14.164228999999999
ENSG00000004534.15,13.781209
ENSG00000004660.15,1.1427200000000002
ENSG00000004700.16,4.777702
ENSG00000004766.17,4.958252
ENSG00000004776.13,0.877311
ENSG00000004777.19,1.893422
ENSG00000004779.10,70.09894899999999
ENSG00000004799.8,5.439273
ENSG00000004809.14,0.026606
ENSG00000004838.14,0.122508
ENSG00000004846.17,0.034017000000000006
ENSG00000004848.8,0.465681
ENSG00000004864.14,5.996445
ENSG00000004866.22,4.84889
ENSG00000004897.12,8.546941
ENSG00000004939.16,0.062446
ENSG00000004948.16,0.006175
ENSG00000004961.15,9.934829
ENSG00000004975.12,4.686811
ENSG00000005001.10,9.903532
ENSG00000005007.14,12.78192
ENSG00000005020.13,8.049081
ENSG00000005022.6,265.458082
ENSG00000005059.16,4.387147
ENSG00000005073.6,0.8430770000000001
ENSG00000005075.16,16.888794
ENSG00000005100.13,2.034433
